id,created_at,text,topic,action,retweet_count,favorite_count
1.00986E+18,2018-06-21T18:12:40Z,"RT @WestworldHBO: Alexa, open Westworld.
Find out if this game was meant for you and play #Westworld: The Maze now available on @Amazon Ale…",Entertainment,Trivial,105,0
1.00729E+18,2018-06-14T16:06:08Z,Celebrate Father's Day with Alexa. Surprise Dad with custom Alexa responses and skills all about him. Create your o… https://t.co/5W7scFnBwO,Social,Customization,12,36
1.01E+18,2018-06-12T19:02:20Z,RT @simonschuster: Big news! We’ve created a Stephen King Library Skill for Amazon Alexa. It'll give you personalized reading recommendatio…,Entertainment,Customization,29,0
1.00476E+18,2018-06-07T16:06:01Z,"Find the perfect skill to streamline and support your modern lifestyle. Just say, ""Alexa, give me a life hack"" to g… https://t.co/acSvQvnAT8",,,8,17
1.00258E+18,2018-06-01T16:00:03Z,"Want to reach someone in the other room but too comfortable on the couch? Just say “Alexa, drop in” to connect inst… https://t.co/hEpnoGOZWX",,,6,40
1.00E+18,2018-05-31T18:01:00Z,RT @alexadevs: Meet the developers behind the most popular #AlexaSkills: https://t.co/qKD4Wy84ZP,,,24,0
1.00222E+18,2018-05-31T16:03:40Z,"What's in the box?! Until June 10th say ""Alexa, ask Jurassic World what's inside the box?"" to get details about the… https://t.co/Jpd0QyzYpK",,,21,35
9.99741E+17,2018-05-24T19:54:58Z,"RT @RedNoseDayUSA: Thanks to Alexa, donating has never been easier. If you’ve got an @AmazonEcho, try it using Amazon Pay. https://t.co/M54…",,,19,0
9.99354E+17,2018-05-23T18:20:46Z,It's road trip season! Bring voice control with you with the Alexa-enabled Roav VIVA car charger. Just ask Alexa to… https://t.co/0gOKjOHkKj,,,34,90
9.99002E+17,2018-05-22T19:00:00Z,Alexa now lets you schedule 1:1 meetings with suggested availability and move meetings in your calendar using just… https://t.co/XCU2Yq7VCV,,,28,62
9.97508E+17,2018-05-18T16:04:27Z,Make your child the main character. You customize the sample story. Alexa narrates. Create your own custom skills w… https://t.co/udUO2hia7h,,,11,33
9.96913E+17,2018-05-17T00:39:58Z,"Don’t know who Yanny and Laurel are? Just ask, “Alexa, tell me about the audio clip.”",,,17,70
9.96406E+17,2018-05-15T15:03:02Z,Bring the magic of hands-free control on the road with Alexa. See if your vehicle is enabled and how Alexa can help… https://t.co/JnStA2YnmF,,,24,52
9.94911E+17,2018-05-11T12:05:00Z,"Talk to her heart’s content with hands-free calling—just say, ""Alexa, call Mom""—to connect this Mother’s Day. Learn… https://t.co/hzKc9BuahT",,,13,34
9.94685E+17,2018-05-10T21:05:38Z,🎶⏰ Did you know Alexa can wake you up to your favorite music? Set a music alarm by asking Alexa to wake up to playl… https://t.co/PIeZJoJS4V,,,22,74
9.93843E+17,2018-05-08T13:20:30Z,This Mother’s Day create a custom list of compliments and let Alexa show the mom in your home how much she means to… https://t.co/lneP4Gw0xO,,,20,42
9.9355E+17,2018-05-07T17:56:06Z,"RT @Microsoft: No #SeattleFreeze here: Tom Taylor, SVP of Amazon Alexa and Megan Saunders, GM of Cortana are on stage at #MSBuild showing o…",,,207,0
9.92375E+17,2018-05-04T12:05:01Z,"Just say ""Alexa, remind me to call mom on Mother's Day"" and Alexa can make sure to remind you at your preferred tim… https://t.co/cFELDwxn53",,,16,30
9.91649E+17,2018-05-02T12:03:20Z,Create a custom birthday game and let Alexa host. Now you can create personal skills with Alexa Skill Blueprints:… https://t.co/ijd1zFUbY4,,,16,33
9.89898E+17,2018-04-27T16:03:49Z,"Thousands of people have used Alexa Skill Blueprints to create their own custom Alexa responses, games, stories, an… https://t.co/Rsydfkg2Kt",,,10,35
9.89585E+17,2018-04-26T19:21:30Z,"Happy 👽 Day! Celebrate by asking, ""Alexa, open Alien Simulator."" https://t.co/l08tRDkVME",,,25,66
9.86998E+17,2018-04-19T16:00:28Z,"Create a custom couples quiz, then let Alexa host the game. Now you can create personal skills with Alexa Skill Blu… https://t.co/7kJRNgGSaL",,,20,61
9.81582E+17,2018-04-04T17:21:03Z,RT @ComedyCentral: Tough times call for great comedy. Introducing: The Comedy Central Skill on Amazon Alexa. #AskAlexa @amazonecho https://…,,,61,0
9.79437E+17,2018-03-29T19:17:34Z,"RT @INFINITIUSA: Now, you can start your engine with Amazon Alexa. Enable the INFINITI InTouch™ Services Skill with Amazon Alexa and connec…",,,41,0
9.79E+17,2018-03-29T18:03:01Z,"With the @TuneIn Live skill you can listen to your favorite sports team's live. ⚾️🏀 🏈 Get started by saying ""Alexa,… https://t.co/qGy5snaEja",,,20,41
9.74255E+17,2018-03-15T12:03:21Z,Hands free communication with Alexa. Call any number in your cell phone contacts using your Echo and use multiple d… https://t.co/KmvPWYBNLj,,,29,79
9.73669E+17,2018-03-13T21:17:52Z,RT @ecobee: Bring light into your life with the power of voice. ecobee Switch+ is the smarter light switch with built-in Amazon Alexa. Pre-…,,,27,0
9.71371E+17,2018-03-07T13:03:32Z,Find thousands of skills in the Alexa app —or just ask Alexa — and start personalizing your Echo experience today w… https://t.co/IjhpfCFDkH,,,30,71
9.68834E+17,2018-02-28T13:02:21Z,Don't forget! Alexa can set a reminder for you on any Echo device. And even send the reminder to your app while you… https://t.co/20sqfflIcR,,,20,67
9.68614E+17,2018-02-27T22:27:22Z,RT @Bose: Alexa convenience meets Bose performance. Introducing new hands-free voice access to your music on #SoundTouch speakers using Ale…,,,25,0
9.66297E+17,2018-02-21T13:02:52Z,Transform your average-everyday-lamp into a voice controlled smart lamp with Alexa. Discover more things Alexa can… https://t.co/OAQBaxaz7P,,,20,60
9.65935E+17,2018-02-20T13:02:01Z,Did you know you can listen to audiobooks with Alexa? @Audible_com has an unmatched selection of professionally nar… https://t.co/mFh33qB3wu,,,17,55
9.63485E+17,2018-02-13T18:48:29Z,"Skills to educate, entertain, and engage. Just say, ""Alexa, tell me about the kids challenge"" to try our finalist s… https://t.co/ulKP6bOyjx",,,9,26
