id,created_at,text,retweet_count,favorite_count
1010307842358874112,2018-06-22 23:45:34,@franatic21 I guess you can call that a Victory Royale. 😎🕺,0,2
1009886421379887110,2018-06-21 19:51:00,"@JoeSiegler For added fun, you can set an alarm using their ""favorite"" (or your favorite) song! https://t.co/Rh9mRSVqjG",0,1
1009861675309121536,2018-06-21 18:12:40,"RT @WestworldHBO: Alexa, open Westworld.
Find out if this game was meant for you and play #Westworld: The Maze now available on @Amazon Ale…",105,0
1009839614843150336,2018-06-21 16:45:00,@HelloItsDnl Feedback ist notiert 👍,0,0
1009838167686606848,2018-06-21 16:39:15,@HelloItsDnl Hast du denn konkrete Verbesserungsvorschläge? 😉,0,0
1009837600243376129,2018-06-21 16:37:00,@HelloItsDnl 😃👍🕺🎉,0,0
1009145287846301696,2018-06-19 18:46:00,"@kelleyridgle At least when you plug your Echo back in we can say, ""Hello!""",0,4
1008900038423171072,2018-06-19 02:31:28,@ProfOfMusic Welcome to the family! 🙌 We're glad to hear you're enjoying your new device. What's your most used feature? 😁,0,0
1008319854288560129,2018-06-17 12:06:01,Wish Dad a happy Father’s Day and catch him up with the whole family on a video call with Echo Show or Echo Spot. https://t.co/jrW327zREF,8,25
1007693335811813377,2018-06-15 18:36:27,@EmmaLouB_ How funny?! Thanks for sharing!,0,0
1007293118516023299,2018-06-14 16:06:08,Celebrate Father's Day with Alexa. Surprise Dad with custom Alexa responses and skills all about him. Create your o… https://t.co/5W7scFnBwO,12,36
1006689355161841665,2018-06-13 00:07:00,@Icess 💃🕺,0,1
1006612682164690945,2018-06-12 19:02:20,RT @simonschuster: Big news! We’ve created a Stephen King Library Skill for Amazon Alexa. It'll give you personalized reading recommendatio…,29,0
1006285054132310016,2018-06-11 21:20:27,@swintrob The cutest thing we've seen all day! Keep on shining and dancing! 🕺💃,1,2
1006238124836577281,2018-06-11 18:13:58,@sandrazander_de Yeah! 😃👍,0,1
1005196367306940421,2018-06-08 21:14:24,@4zido 😢,0,6
1004756372733521920,2018-06-07 16:06:01,"Find the perfect skill to streamline and support your modern lifestyle. Just say, ""Alexa, give me a life hack"" to g… https://t.co/acSvQvnAT8",8,17
1003675132559314944,2018-06-04 16:29:33,@passenger_faber 😃👍,0,2
1003666415793123328,2018-06-04 15:54:55,@passenger_faber Und jeden Abend danke ich meinem Erschaffer! Meine Wünsche werden übrigens fast immer erhört 😁😎,0,1
1003076801315426304,2018-06-03 00:52:00,@EctoFlapjack 👻👻👻,2,3
1002580543526105089,2018-06-01 16:00:03,"Want to reach someone in the other room but too comfortable on the couch? Just say “Alexa, drop in” to connect inst… https://t.co/hEpnoGOZWX",6,40
1002320808734322688,2018-05-31 22:47:57,@maxpixelation We wouldn't ever mislead you! Let us know what Alexa says! 😉,0,2
1002287797389217792,2018-05-31 20:36:47,@tim_shepherd There are so many skills! It's always awesome to find a new one to have fun with.,0,1
1002264591685038080,2018-05-31 19:04:34,"@maxpixelation Oh no! It's OK though, Alexa's got your back. Just ask her, ""Alexa, am I cool""? 😎😎",0,2
1002248595301588992,2018-05-31 18:01:00,RT @alexadevs: Meet the developers behind the most popular #AlexaSkills: https://t.co/qKD4Wy84ZP,24,0
1002219065283350536,2018-05-31 16:03:40,"What's in the box?! Until June 10th say ""Alexa, ask Jurassic World what's inside the box?"" to get details about the… https://t.co/Jpd0QyzYpK",21,35
1001541388608196608,2018-05-29 19:10:49,@ChristianWheel Smart gal! 😉 ^CS,0,2
1001249763851939840,2018-05-28 23:52:00,"@KCRoby He made a good attempt! We can't really blame him, it's a pretty catchy song. 🐾🎶",1,1
1001124335564787713,2018-05-28 15:33:36,"@coldstarsystems Aw, yeah! What's next on the device list?",0,1
1001018129244393472,2018-05-28 08:31:34,"@ManuelRauber In dem Fall meldest du dich am besten einmal bei uns im Kundenservice: https://t.co/wlZqK55bBT 
Meine… https://t.co/M3OEC3l2ah",0,0
1001001856242511872,2018-05-28 07:26:54,"@ManuelRauber Oh, da hat sich wohl leider etwas aufgehängt 😮 Hast du die App schon einmal komplett vom Gerät genomm… https://t.co/9CW0FKizdi",0,0
999832295803707392,2018-05-25 01:59:29,"@BradleyNAnthony Woo, party time! That's an awesome setup!",0,1
999740561652248577,2018-05-24 19:54:58,"RT @RedNoseDayUSA: Thanks to Alexa, donating has never been easier. If you’ve got an @AmazonEcho, try it using Amazon Pay. https://t.co/M54…",19,0
999466763485138944,2018-05-24 01:47:00,@TheRezzy27 I'm so glad you like your Echo! 💙 Check out some other neat things it can do here: https://t.co/OTiY9SkD2p.,0,4
999354464938143763,2018-05-23 18:20:46,It's road trip season! Bring voice control with you with the Alexa-enabled Roav VIVA car charger. Just ask Alexa to… https://t.co/0gOKjOHkKj,34,90
999001953685340165,2018-05-22 19:00:00,Alexa now lets you schedule 1:1 meetings with suggested availability and move meetings in your calendar using just… https://t.co/XCU2Yq7VCV,28,62
997540049209049088,2018-05-18 18:10:55,"RT @MTV: Here are the five things you need to know today on MTV's ""Fresh 5."" Be sure to add MTV News to your Flash Briefing on @AmazonEcho…",21,0
997508223442792449,2018-05-18 16:04:27,Make your child the main character. You customize the sample story. Alexa narrates. Create your own custom skills w… https://t.co/udUO2hia7h,11,33
997173272654606336,2018-05-17 17:53:29,"@grkvlt Welcome to the family! Here are some more things to try with your new device: https://t.co/xxYi3z1KYJ

We hope you enjoy!",0,1
996948811200286720,2018-05-17 03:01:33,@beatlefnatic 💙 🎶 🎤,0,1
996919507653361671,2018-05-17 01:05:07,@joeweakland1027 Thanks for sharing the love! The Echo plays a mean game of Jeopardy! Have you tried out the skill… https://t.co/JXndHFOXxz,0,3
996913180759605249,2018-05-17 00:39:58,"Don’t know who Yanny and Laurel are? Just ask, “Alexa, tell me about the audio clip.”",17,70
996814154945220611,2018-05-16 18:06:29,@MeeraSharm 😊😊 How exciting! We hope you enjoy your new Echo Dot! 😊😊,0,3
996457297693020160,2018-05-15 18:28:27,"@blueruss1875 With the proper amount of space and WiFi-delity, we find Alexa's pretty understanding! 😉",0,6
996405602879492096,2018-05-15 15:03:02,Bring the magic of hands-free control on the road with Alexa. See if your vehicle is enabled and how Alexa can help… https://t.co/JnStA2YnmF,24,52
995807780262109189,2018-05-13 23:27:30,@melsolis_522 Sunday Morning Soul sounds great! What does your Monday playlist include? 🎶❤️🎵,0,1
995444757332680705,2018-05-12 23:24:59,@brentswalsh Alexa got bars!,0,0
994911248620904448,2018-05-11 12:05:00,"Talk to her heart’s content with hands-free calling—just say, ""Alexa, call Mom""—to connect this Mother’s Day. Learn… https://t.co/hzKc9BuahT",13,34
994684914011459584,2018-05-10 21:05:38,🎶⏰ Did you know Alexa can wake you up to your favorite music? Set a music alarm by asking Alexa to wake up to playl… https://t.co/PIeZJoJS4V,22,74
